Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Alki/Admiral,2124 California Ave SW,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Alki/Admiral,4029 Beach Dr SW,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit
Medium Risk,Alki/Admiral,2306 42nd Ave SW,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys
Medium Risk,Ballard,1100 NW Leary Way,1932,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Ballard,1766 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps
Medium Risk,Ballard,1836 NW Market St,1926,1,Substantial Alteration,Commercial,11-100,Field Visit
Medium Risk,Ballard,1903 NW Market St,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit
High Risk,Ballard,2000 NW Market St,1924,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Ballard,2016 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Ballard,2021 NW 58th St,1900,3,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,Ballard,2026 NW Market St,1904,2,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,2032 NW Market St,1928,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,2056 NW Market St,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Ballard,2215 NW Market St,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Ballard,2220 NW Market St,1927,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Ballard,2228 NW Market St,1928,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2236 NW Market St,1927,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2244 NW Market St,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Ballard,2301 NW Market St,1928,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2318 NW Market St,1911,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,923 NW 54th St,0,1,No visible retrofit,Government,1-10,Permit Drawing Review
Medium Risk,Ballard,4711 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,4722 Ballard Ave NW,1902,2,Visible retrofit,Commercial,11-100,Field Visit
High Risk,Ballard,4743 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit
Medium Risk,Ballard,5000 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5006 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Ballard,5100 Ballard Ave NW,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Ballard,5101 Ballard Ave NW,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View
Medium Risk,Ballard,5109 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5129 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Ballard,5130 Ballard Ave NW,1900,1,Visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,5135 Ballard Ave NW,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit
Medium Risk,Ballard,5140 Ballard Ave NW,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes
Medium Risk,Ballard,5144 Ballard Ave NW,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5200 Ballard Ave NW,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit
Critical Risk,Ballard,5201 Ballard Ave NW,1915,2,No visible retrofit,Schools,101+,Field Visit
Medium Risk,Ballard,5205 Ballard Ave NW,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys
High Risk,Ballard,5215 Ballard Ave NW,1902,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Ballard,5218 20th Ave NW,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View
Medium Risk,Ballard,5221 Ballard Ave NW,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review
Medium Risk,Ballard,5227 Leary Ave NW,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit
Medium Risk,Ballard,5229 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5232 Ballard Ave NW,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review
Medium Risk,Ballard,5233 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5239 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Ballard,5242 Shilshole Ave NW,1926,1,No visible retrofit,Industrial,11-100,Field Visit
Medium Risk,Ballard,5300 Ballard Ave NW,1902,2,No visible retrofit,Residential,11-100,Field Visit
High Risk,Ballard,5307 Ballard Ave NW,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review
Medium Risk,Ballard,5310 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5313 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Ballard,5323 Ballard Ave NW,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Ballard,5333 Ballard Ave NW,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View
Medium Risk,Ballard,5335 Ballard Ave NW,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Ballard,5337 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Ballard,5344 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records
Medium Risk,Ballard,5345 Ballard Ave NW,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5348 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Ballard,5354 Ballard Ave NW,1903,1,Visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5403 Ballard Ave NW,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Ballard,5405 Leary Ave NW,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit
High Risk,Ballard,5414 Ballard Ave NW,1908,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Ballard,5419 Ballard Ave NW,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Ballard,5424 Ballard Ave NW,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Ballard,5425 Ballard Ave NW,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5425 Russell Ave NW,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Ballard,5429 Ballard Ave NW,1923,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5443 Ballard Ave NW,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit
Medium Risk,Ballard,5449 Ballard Ave NW,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5463 Leary Ave NW,1950,1,No visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Ballard,5800 15th Ave NW,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Ballard,5814 22nd Ave NW,1928,4,No visible retrofit,Residential,11-100,Field Visit
Critical Risk,Beacon Hill,5117 13th Ave S,1919,3,Permitted Retrofit,Schools,101+,Google Street View
Medium Risk,Beacon Hill,5710 Airport Way S,1914,2,No visible retrofit,Commercial,101+,Google Street View
High Risk,Beacon Hill,5840 Airport Way S,1903,4,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Beacon Hill,5900 Airport Way S,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View
Medium Risk,Beacon Hill,5919 Airport Way S,1900,2,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Beacon Hill,6010 Airport Way S,1910,2,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Belltown,11 Vine St,1911,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Belltown,112 Stewart St,1909,8,Substantial Alteration,Commercial/Residential,101+,Photos from Previous Surveys
Medium Risk,Belltown,115 Blanchard St,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,1617 Post Al,1908,3,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review
Medium Risk,Belltown,1901 3rd Ave,1916,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,1902 Post Al,1925,2,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,1907 1st Ave,1914,6,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,1914 Post Al,1910,5,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,1918 1st Ave,1909,6,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys
Medium Risk,Belltown,1920 Post Al,1910,5,Substantial Alteration,Commercial/Office,101+,Field Visit
Medium Risk,Belltown,1921 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Belltown,1921 3rd Ave,1910,6,Permitted Retrofit,Other Mixed Uses,101+,Google Street View
Medium Risk,Belltown,1924 1st Ave,1909,5,Visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,1924 Post Al,1906,5,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys
Medium Risk,Belltown,1929 3rd Ave,1914,3,Substantial Alteration,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,1930 Post Al,1901,5,Visible retrofit,Other Mixed Uses,101+,Google Street View
Medium Risk,Belltown,2001 3rd Ave,1919,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,2006 2nd Ave,1917,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Belltown,2012 2nd Ave,1924,1,Visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Belltown,2018 1st Ave,1908,3,Permitted Retrofit,Commercial/Office,11-100,Photos from Previous Surveys
Medium Risk,Belltown,2030 1st Ave,1918,3,Visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,2100 1st Ave,1920,1,Permitted Retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,2101 1st Ave,1901,5,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2101 3rd Ave,1926,1,Permitted Retrofit,Commercial,1-10,Photos from Previous Surveys
Medium Risk,Belltown,2106 2nd Ave,1919,2,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Belltown,2110 Western Ave,1923,2,Visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,2111 3rd Ave,1923,2,Permitted Retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Belltown,2112 1st Ave,1904,2,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,2114 Western Ave,1902,2,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Belltown,2119 2nd Ave,1909,4,Visible retrofit,Other Mixed Uses,11-100,Google Street View
Medium Risk,Belltown,2121 1st Ave,1926,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,2132 2nd Ave,1918,6,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Belltown,2133 3rd Ave,1928,2,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Belltown,2136 1st Ave,1925,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Belltown,2137 2nd Ave,1927,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review
Medium Risk,Belltown,2200 Western Ave,1909,5,Substantial Alteration,Commercial,101+,Google Street View
Medium Risk,Belltown,2201 1st Ave,1900,4,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2204 1st Ave,1910,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Belltown,2205 2nd Ave,1923,6,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2209 1st Ave,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2212 1st Ave,1909,3,Visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2218 1st Ave,1920,1,Permitted Retrofit,Commercial,101+,Google Street View
High Risk,Belltown,2220 Western Ave,1913,2,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Belltown,2221 3rd Ave,1914,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review
High Risk,Belltown,2222 2nd Ave,1923,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Belltown,2224 2nd Ave,1911,3,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2231 2nd Ave,1900,2,No visible retrofit,Commercial/Office,11-100,Photos from Previous Surveys
Medium Risk,Belltown,2234 2nd Ave,1924,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Belltown,2300 1st Ave,1900,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2301 1st Ave,1902,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,2303 Western Ave,1908,3,Permitted Retrofit,Other Mixed Uses,11-100,Google Street View
Medium Risk,Belltown,2320 1st Ave,1888,4,No visible retrofit,Other Mixed Uses,11-100,Google Street View
Medium Risk,Belltown,2327 2nd Ave,1924,3,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Belltown,2401 1st Ave,1900,4,Permitted Retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,2407 1st Ave,0,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Belltown,2408 2nd Ave,1923,3,Visible retrofit,Residential,101+,Google Street View
Medium Risk,Belltown,2420 2nd Ave,1928,1,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Belltown,2423 1st Ave,1909,3,No visible retrofit,Commercial/Residential,11-100,Google Street View
Critical Risk,Belltown,2501 Elliott Ave,1910,4,Substantial Alteration,Schools,101+,Permit Drawing Review
Medium Risk,Belltown,2515 Western Ave,1917,2,No visible retrofit,Other Mixed Uses,101+,Sandborn Insurance Maps
Medium Risk,Belltown,2604 1st Ave,1903,3,No visible retrofit,Commercial/Residential,101+,Google Street View
High Risk,Belltown,2800 1st Ave,1942,3,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Belltown,2819 Elliott Ave,1902,2,Substantial Alteration,Commercial/Office,101+,Google Street View
High Risk,Belltown,2905 1st Ave,1924,5,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,Belltown,2933 2nd Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Belltown,3016 1st Ave,1910,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Belltown,3025 1st Ave,1925,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Belltown,81 Vine St,1914,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Belltown,87 Wall St,1912,2,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Broadview/Bitter Lake,12431 Greenwood Ave N,1929,1,No visible retrofit,Commercial,11-100,Google Street View
Critical Risk,Broadview/Bitter Lake,415 N 117th St,1938,2,Permitted Retrofit,Schools,101+,Permit Drawing Review
Critical Risk,Capitol Hill,1002 E Seneca St,1922,1,Substantial Alteration,Schools,101+,Photos from Previous Surveys
Medium Risk,Capitol Hill,1020 E Denny Way,1907,3,No visible retrofit,Residential,11-100,Permit Drawing Review
Medium Risk,Capitol Hill,105 Harvard Ave E,1928,5,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Capitol Hill,1100 E Pike St,1912,3,Visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Capitol Hill,1101 E Pike St,1911,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Capitol Hill,1107 E Denny Way,1910,3,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,111 Broadway E,1927,1,Visible retrofit,Commercial,11-100,Google Street View
Critical Risk,Capitol Hill,1115 Harvard Ave,1910,2,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Capitol Hill,1134 Broadway,1927,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Capitol Hill,115 Belmont Ave E,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys
Medium Risk,Capitol Hill,1201 Pine St,1912,1,No visible retrofit,Commercial,11-100,Field Visit
High Risk,Capitol Hill,1213 E Pine St,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Capitol Hill,1215 Seneca St,1928,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review
Medium Risk,Capitol Hill,1222 Summit Ave,1916,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1224 Madison St,1924,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1305 E Denny Way,1922,3,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,1305 E Madison St,1907,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1319 E Madison St,1920,2,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Capitol Hill,1325 E Madison St,1937,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Capitol Hill,135 Harvard Ave E,1927,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1351 E Olive Way,1925,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1400 Broadway,1911,2,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Capitol Hill,1401 12th Ave,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1406 Harvard Ave,1908,2,Visible retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,1412 12th Ave,1919,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review
Medium Risk,Capitol Hill,1412 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,1414 Broadway,1907,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Capitol Hill,1414 E Denny Way,1915,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1414 Seneca St,1918,4,No visible retrofit,Residential,11-100,Google Street View
Critical Risk,Capitol Hill,1415 Summit Ave,1904,2,Permitted Retrofit,Schools,101+,Google Street View
Medium Risk,Capitol Hill,1420 Broadway,1904,2,Visible retrofit,Commercial,11-100,Google Street View-Rosettes
Medium Risk,Capitol Hill,1421 15th Ave,1907,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1423 10th Ave,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys
Medium Risk,Capitol Hill,1424 10th Ave,1913,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1450 E Republican St,1926,3,No visible retrofit,Residential,11-100,Google Street View
High Risk,Capitol Hill,1500 Bellevue Ave,1910,3,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Capitol Hill,1501 E Olive Way,1916,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
Medium Risk,Capitol Hill,1505 10th Ave,1910,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Capitol Hill,1505 Broadway,1913,2,No visible retrofit,Commercial,101+,Permit Drawing Review
High Risk,Capitol Hill,1506 11th Ave,1916,2,No visible retrofit,Public Assembly,101+,Field Visit
High Risk,Capitol Hill,1510 E Olive Way,1924,3,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Capitol Hill,1510 Melrose Ave,1930,2,Substantial Alteration,Commercial/Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1511 Boylston Ave,1907,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps
Medium Risk,Capitol Hill,1512 Summit Ave,1908,5,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1514 10th Ave,1912,2,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Capitol Hill,1514 Broadway,1909,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Capitol Hill,1515 Bellevue Ave,1925,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1515 Broadway,1912,1,No visible retrofit,Commercial,11-100,Field Visit
High Risk,Capitol Hill,1515 Melrose Ave,1919,1,Substantial Alteration,Public Assembly,101+,Field Visit
High Risk,Capitol Hill,1518 11th Ave,1915,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Capitol Hill,1520 13th Ave,1920,2,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Capitol Hill,1520 Bellevue Ave,1918,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Capitol Hill,1520 Melrose Ave,1916,4,Visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1521 15th Ave,1910,4,No visible retrofit,Residential,11-100,Field Visit
High Risk,Capitol Hill,1522 12th Ave,1922,1,Substantial Alteration,Public Assembly,101+,Google Street View
Medium Risk,Capitol Hill,1525 Boylston Ave,1919,1,Substantial Alteration,Residential,11-100,Permit Drawing Review
Medium Risk,Capitol Hill,1531 Belmont Ave,1910,4,Permitted Retrofit,Residential,11-100,Field Visit
High Risk,Capitol Hill,1531 Melrose Ave,1912,1,Substantial Alteration,Public Assembly,101+,Field Visit
Medium Risk,Capitol Hill,1550 E Olive Way,1924,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Capitol Hill,1611 Boylston Ave,1923,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
Medium Risk,Capitol Hill,1617 Boylston Ave,1921,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Capitol Hill,1617 Yale Ave,1925,6,Permitted Retrofit,Residential,101+,Google Street View
Medium Risk,Capitol Hill,1619 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1620 13th Ave,1908,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1620 14th Ave,1919,2,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1621 12th Ave,1917,1,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys
High Risk,Capitol Hill,1625 Broadway,1910,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Capitol Hill,1626 13th Ave,1908,3,Substantial Alteration,Residential,11-100,Permit Drawing Review
Medium Risk,Capitol Hill,1628 Bellevue Ave,1916,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1629 Harvard Ave,1940,6,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Capitol Hill,1630 Boylston Ave,1917,4,Permitted Retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,1631 Belmont Ave,1928,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1633 Melrose Ave,1916,5,Permitted Retrofit,Residential,11-100,Permit Drawing Review
High Risk,Capitol Hill,1727 Harvard Ave,1923,3,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Capitol Hill,1736 Belmont Ave,1923,7,No visible retrofit,Residential,101+,Google Street View
Medium Risk,Capitol Hill,1736 Summit Ave,1925,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1743 Summit Ave,1916,4,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1815 15th Ave,1929,2,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1819 Bellevue Ave,1929,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,1820 Boylston Ave,1920,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,1833 13th Ave,1928,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,209 Broadway E,1908,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Capitol Hill,212 11th Ave E,1929,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,214 Summit Ave E,1917,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps
Medium Risk,Capitol Hill,215 13th Ave E,1909,3,No visible retrofit,Residential,11-100,Field Visit
Medium Risk,Capitol Hill,219 Broadway E,1918,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Capitol Hill,221 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,222 Summit Ave E,1927,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps
Medium Risk,Capitol Hill,223 14th Ave E,1926,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,225 Broadway E,1940,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Capitol Hill,300 Broadway E,1909,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Capitol Hill,300 E Pike St,1910,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Capitol Hill,303 Harvard Ave E,1949,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,305 Bellevue Ave E,1908,5,Visible retrofit,Residential,101+,Google Street View
Medium Risk,Capitol Hill,309 Belmont Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View
High Risk,Capitol Hill,309 E Harrison St,1928,6,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,315 12th Ave E,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,315 Summit Ave E,1930,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,321 Broadway E,1910,4,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Capitol Hill,325 Harvard Ave E,1928,5,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,325 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,333 Summit Ave E,1929,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,400 Boylston Ave E,1931,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys
Critical Risk,Capitol Hill,400 E Pine St,1917,3,Visible retrofit,Schools,101+,Field Visit
Medium Risk,Capitol Hill,401 15th Ave E,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Capitol Hill,401 E Pine St,1910,2,Substantial Alteration,Commercial,11-100,Google Street View
Medium Risk,Capitol Hill,405 E Olive St,1923,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,417 13th Ave E,1910,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,417 E Union St,1930,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Capitol Hill,420 Broadway E,1930,1,No visible retrofit,Commercial,101+,Field Visit
